,SRX10470966,SRX10470967,SRX10470968,SRX10470969,SRX10470970,SRX10470971,SRX10470972,SRX10470973,SRX10470974,SRX10470975,SRX10470976,SRX10470977,SRX10470978,SRX10470979,SRX10470980,SRX10470981,SRX10470982,SRX10470983,SRX10470984,SRX10470985,SRX10470986,SRX10470987,SRX10470988,SRX10470989,SRX10470990,SRX10470991,SRX10470992,SRX10470993,SRX10470994,SRX10470995,SRX10470996,SRX10470997,SRX10470998,SRX10470999,SRX10471000,SRX10471001,SRX10471002,SRX10471003,SRX10471004,SRX10471005,SRX10471006,SRX10471007,SRX10471008,SRX10471009,SRX10471010,SRX10471011,SRX10471012,SRX10471013,SRX10471014,SRX10471015,SRX10471016,SRX10471017,SRX10471018,SRX10471019
2495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886581760591582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2501,0.903309295076332,0,0,0,0,0,0,0,0,0,0,0,0.937273526698761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927244667958238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2518,73.1680529011829,2.62961994081761,32.3351345394154,5.8711844167124,6.35386233402358,19.799900976652,12.699355095557,22.4930079303764,13.6540918986361,39.695309381966,78.9467364989022,43.7590032737803,108.723729097056,8.47619917440211,65.9760512582734,36.7685734001583,39.063632574,41.8579417105523,106.329150906724,83.4078086013786,67.5239108103351,49.4739777325165,128.777811840667,65.0852790166417,9.75060670138524,57.6278144384529,17.6176486912065,70.2329940701956,33.9443047494897,54.8410832189202,24.7717536210438,8.60445620487864,25.9491294845504,183.525571643815,12.8622550652039,7.85278037765532,36.5593975431338,34.5718369613636,111.596776009815,159.240094510946,80.1631755177412,61.2689813751164,120.112797479823,49.5725994872654,85.9150878668266,95.2424352193904,135.970492376932,187.033024307041,22.3151287122837,167.486938388279,113.374933371186,26.5512102441485,12.0646856952231,23.6255495020464
2519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723.856142711159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.170930954571,0,0,0,0,0,0,0,0,0,0,0,0,0.813187062204528,0,0.651700149370734,0,0,0,0
2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844048885129189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989404235784912,0,0,0,0,0,0,0,0,0,1.56209250666957,0,0.824063590163226,0,0,0,0,0,0,0
2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958710443694007,0,0,0,0,0,0,0,0,0,1.05463621574846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824063590163226,0,0,0,0,0,0,0
2525,0,0,0,0.978530736118733,0,0.899995498938728,0,0,0,0,0,0.663015201117883,0.937273526698761,0,0,0,0,0.951316857058008,0,0,2.53214665538757,0,0,0,0,0.886581760591582,0,0,0.942897354152491,0,0,0,0,0.819310587695601,0,0,0,0,0,0,0,0,0,0,1.56209250666957,0,0,0,0.796968882581562,0,0,0,0,0
