,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1685,0,0,0,0,0.922507856945936,0,0,0
1687,0,0,0,0,0,0,0,0
1688,0,0,0,0,0,0,0,0
1690,0,0,0,0.768706690806,0,0,0,0
1691,0,0,0,0,0,0,0,0
1692,0,0,0,0,0,0,0,0
1693,0,0,0,0,0,0,0,0
1696,0,0,0,0,0,0,0,0
1698,0,0,0,0,0,0,0,0
1702,0,0,0,0,0,0,0,0
1703,0,0,0,0,0,0,0,0
1708,0,0,0,0,0,0,0,0
1710,0,0,0,0,0,0,0,0
1711,0,0,0,0,0,0,0,0
1712,0,0,0,0,1.84501571389187,0,0,0
1716,0,0,0,0,0,1.89006208711231,0,0
1717,0,0,0,0,0,0,0,0
1718,0,0,0,0,0,0,0,0
1719,0,2.02478824955256,0,0,0.922507856945936,0,0,0.840047247244072
1720,0,0,2.37891471506631,0.768706690806,0.922507856945936,0.945031043556156,1.05150193874993,0
1721,0,0,0,0.768706690806,0,0.945031043556156,0,0
1722,0,0,0,0,0,0,0,0
1723,0,0,0,0,0,0,0,0
1724,0,0,0,0,0,0,0,0
1725,1.17727881798902,0,1.18945735753315,1.537413381612,4.61253928472968,0,0,0
1727,0,0,0,0,0,0,0,0
1728,0,0,1.18945735753315,0,1.84501571389187,0,0,0
1729,0,0,0,0,0,0,0,0
1731,0,0,0,0,0,0,0,0
1734,0,0,0,0,0,0,0,0
1735,0,0,0,0,0,0,0,0
1737,0,0,3.56837207259946,0.768706690806,0,0,0,0
1739,0,0,0,0,0,0,0,0
1740,1.17727881798902,0,3.56837207259946,5.380946835642,1.84501571389187,0.945031043556156,0,2.52014174173222
1741,0,0,0,0,0,0,0,0
1742,2.35455763597804,1.01239412477628,2.37891471506631,2.306120072418,0.922507856945936,2.83509313066847,3.1545058162498,0.840047247244072
1744,0,0,0,0,0,0,0,0.840047247244072
1745,15.3046246338572,29.3594296185121,7.13674414519892,19.986373960956,13.837617854189,14.1754656533423,18.9270348974988,36.1220316314951
1746,0,0,0,0,0,0,0,0
1747,0,0,0,0,0,0,2.10300387749986,0
1748,0,0,0,0,0,0,0,0
1749,0,1.01239412477628,0,0.768706690806,0.922507856945936,0.945031043556156,0,0
1753,0,0,0,0,0,0,0,0.840047247244072
1756,0,0,0,0,0,0,0,0
1757,0,0,0,0,0,0,0,0
1758,1.17727881798902,0,0,0.768706690806,0,0.945031043556156,0,0.840047247244072
1759,0,0,0,0,0,0,0,0
1761,0,0,0,0,0,0,0,0
1763,0,0,0,0,0,0,0,0
1764,0,0,0,0,0,0,0,0
1766,0,0,0,0,0,0,0,0
1767,0,0,0,0,0,1.89006208711231,0,0
1768,0,0,0,0,0,0,0,0
1770,0,0,0,0,0,0,0,0
1773,0,0,0,0,0,0,0,0
1774,0,0,0,0,0,0,0,0
1778,0,0,0,0,0,0,0,0
1779,0,0,0,0,0,0,0,0
1782,0,0,0,0,0,0,0,0
1783,0,0,0,0,0,0,0,0
1785,0,0,0,0,0,0,0,0
1788,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0
1791,0,0,0,0,0,0,0,0
1793,0,0,0,0,0,0,0,0
1795,0,0,0,0,1.84501571389187,0,0,0
1797,3.53183645396705,0,0,0,2.76752357083781,0,0,0
1798,0,0,0,0,0,0,0,0
1799,0,0,0,0,0,0,0,0
1805,0,0,0,0,0,0,0,0
1806,0,0,0,0,0,0,0,0
1811,0,0,0,0,0,0,0,0
1812,0,0,0,0,0,0,0,0
1813,0,0,0,0,0,0,0,0
1814,0,0,0,0,0,0,0,0
1818,0,0,0,0,0,0,0,0
1822,0,0,0,0,0,0,0,0
1823,0,0,0,0,0,0,0,0
1824,1.17727881798902,5.0619706238814,2.37891471506631,5.380946835642,4.61253928472968,4.72515521778078,2.10300387749986,2.52014174173222
1827,0,0,0,0,0,0,0,0
1829,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0
1831,0,0,0,0,0,0,0,0
1832,0,0,0,0,0,0,0,0
1834,0,0,0,0,0,0,0,0
1841,0,0,0,0.768706690806,0,0,0,0
1842,0,0,0,0,0.922507856945936,1.89006208711231,0,0
1844,0,0,0,0,0,0,0,0
1846,0,0,0,0,0,0,0,0
1847,0,0,0,0,0,0,0,0
1849,0,0,0,0,0,0,0,0
1850,1.17727881798902,1.01239412477628,0,0,0,0.945031043556156,0,0
1852,0,0,0,0,0,0,0,0
1855,1.17727881798902,0,0,0,0,0,0,0
1864,0,0,0,0,0,0,0,0
1866,0,0,0,0,0,0,0,0
1870,34.1410857216815,6.07436474865768,385.384183840742,18.448960579344,1.84501571389187,3.78012417422462,2.10300387749986,0
1872,0,0,0,0,0.922507856945936,0,0,0
1874,14.1273458158682,2.02478824955256,129.650851971114,5.380946835642,19.3726649958647,8.5052793920054,30.493556223748,16.8009449448814
1875,0,0,0,0,0,0,0,0
1876,0,0,0,0,0,0,0,0.840047247244072
1878,18.8364610878243,22.2726707450781,9.51565886026523,25.367320796598,10.1475864264053,11.3403725226739,18.9270348974988,19.3210866866137
1879,9.41823054391214,7.08675887343396,15.462945647931,8.455773598866,13.837617854189,3.78012417422462,7.36051357124952,3.36018898897629
1881,0,0,0,0,0,0,0,0
1882,1.17727881798902,0,0,0,0,0.945031043556156,10.5150193874993,0
1884,0,0,0,0,0,0,0,0
1885,7.06367290793411,12.1487294973154,4.75782943013261,6.918360217254,2.76752357083781,17.0105587840108,9.46351744874939,5.8803307307085
1889,0,0,0,0,0,0,0,0
1891,0,0,0,0,0,0,0,0
1892,0,5.0619706238814,0,1.537413381612,0,0,2.10300387749986,2.52014174173222
1894,0,0,0,0,0,0.945031043556156,0,0
1896,0,0,0,0,0,0,2.10300387749986,0
1899,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,1.05150193874993,0
1908,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0.840047247244072
1914,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0
1921,0,0,4.75782943013261,0,1.84501571389187,0,3.1545058162498,0
1922,0,1.01239412477628,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0
1932,0,1.01239412477628,0,0,0,0.945031043556156,0,0
1936,0,0,1.18945735753315,1.537413381612,0,0,0,0
1937,0,0,0,0,0,0,0,0
1939,0,1.01239412477628,0,0,0,0,0,0
1942,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0
1945,75.3458443512972,59.7312533618005,13.0840309328647,48.428521520778,49.8154242750806,26.4608692195724,39.9570736724974,40.3222678677154
1946,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0
1960,1.17727881798902,0,0,0,0.922507856945936,0,0,0
1961,0,0,0,0,0,0,0,0
1962,1.17727881798902,0,2.37891471506631,0.768706690806,0.922507856945936,1.89006208711231,0,0
1964,0,0,0,0,0,0,0,0
1968,0,1.01239412477628,0,0.768706690806,0,0,0,0
1972,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,1.05150193874993,0
1975,0,0,0,0.768706690806,0,0,0,0
1976,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0
1981,0,0,0,0.768706690806,0,0,0,0.840047247244072
1982,10.5955093619012,0,5.94728678766577,8.455773598866,0.922507856945936,3.78012417422462,10.5150193874993,6.72037797795257
1988,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,1.05150193874993,0
1994,0,0,0,0,0,0,0,0
1995,0,0,1.18945735753315,0,0,0,0,0
1997,0,0,0,0.768706690806,0,0,0,0
1999,1.17727881798902,0,0,0,0,0,0,0
2000,0,0,4.75782943013261,3.074826763224,0.922507856945936,0,0,0
2003,1.17727881798902,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0
