erv,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
2081,1,0,0,0,0,0,1,0
2082,0,0,0,0,0,0,0,0
2083,0,1,0,0,0,0,0,0
2084,0,0,0,0,0,0,0,0
2086,1,0,0,0,0,0,1,0
2089,0,0,2,0,0,0,0,0
2090,0,0,0,0,0,0,0,0
2091,0,0,0,0,0,0,0,0
2092,0,0,0,0,3,1,1,0
2093,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,1,0
2095,13,9,16,8,11,8,9,6
2098,1,2,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0
2101,5,0,1,0,1,1,0,0
2104,0,0,0,0,0,0,0,0
2107,0,0,0,0,0,0,0,0
2108,1,3,70,64,31,13,3,2
2112,0,0,0,0,0,0,0,0
2113,0,0,0,0,0,0,0,0
2115,0,0,0,0,0,0,0,0
2116,0,0,0,0,0,0,0,0
2118,0,0,0,0,0,0,0,0
2119,0,0,0,0,0,0,0,0
2120,0,0,0,0,0,0,0,0
2121,0,0,0,0,0,0,0,0
2122,0,3,1,2,0,1,0,0
2123,2,1,0,3,2,2,0,0
2124,48,0,102,57,72,10,58,15
2126,0,1,0,0,0,0,0,0
2128,0,0,0,0,0,0,0,0
2129,0,0,0,0,0,1,0,0
2134,0,0,0,0,0,0,0,0
2135,0,0,0,0,0,0,0,0
2136,0,0,0,0,0,0,0,0
2137,0,0,0,0,0,0,0,0
2139,0,0,0,0,0,0,0,0
2140,0,0,0,0,0,0,0,0
2144,1,0,0,0,0,0,0,0
2151,0,0,0,0,0,0,0,0
2152,7,1,1,10,1,6,4,8
2153,0,0,0,0,0,0,0,0
2156,0,0,0,1,0,0,0,0
2157,0,0,0,0,0,0,0,0
2159,0,0,0,0,0,0,0,0
2160,0,0,0,0,0,0,0,0
2161,0,0,0,0,0,0,0,0
2162,0,0,0,0,0,0,1,0
2164,0,0,0,0,0,0,0,0
2166,0,0,0,0,0,0,0,0
2167,0,0,0,1,0,0,0,0
2169,0,0,0,0,0,0,0,0
2170,0,0,3,2,2,0,2,2
2171,2,5,0,1,5,2,3,0
2172,0,0,1,0,0,0,0,0
2174,0,0,0,0,0,0,0,0
2175,0,0,0,0,0,0,0,0
2177,0,0,0,0,0,0,0,0
2180,0,0,0,0,0,0,0,0
2181,0,0,0,0,0,0,0,0
2184,0,0,0,0,0,0,0,0
2187,0,0,0,0,0,0,0,0
2188,0,0,0,0,0,0,0,0
2192,0,0,0,0,0,0,0,0
2193,0,0,0,0,0,0,0,0
2194,0,0,0,0,0,0,0,0
2196,0,0,1,0,0,0,0,0
2199,0,0,0,0,0,0,0,0
2201,0,0,0,0,0,0,0,0
2204,0,0,0,0,0,0,0,0
2208,0,0,0,0,0,0,0,0
2209,0,0,0,0,0,0,0,0
2211,0,0,0,0,0,0,0,0
2212,0,0,0,0,0,0,0,0
2213,0,0,0,1,1,3,0,0
2216,0,0,0,0,0,0,0,0
2218,0,0,4,0,0,0,0,0
2219,0,0,0,0,0,1,0,0
2223,0,0,0,0,0,0,0,0
2224,0,0,0,1,2,0,0,0
2225,0,0,0,0,0,0,0,0
2226,0,0,0,0,0,0,0,0
2228,1,0,0,0,0,0,0,0
2230,0,0,0,0,1,0,0,0
2232,0,0,0,0,0,0,0,0
2240,0,0,0,0,0,0,0,0
2242,0,0,0,0,0,0,0,0
2248,0,0,0,0,0,0,0,0
2249,0,0,0,0,0,0,0,0
2251,0,0,0,0,0,0,1,0
2255,0,0,0,0,2,1,0,0
2256,0,0,0,0,0,0,0,0
2259,0,0,0,0,0,0,0,0
2261,0,0,0,0,0,0,0,0
2262,0,0,0,0,0,1,2,0
2263,0,0,0,0,0,0,0,0
2266,0,0,0,0,0,0,0,0
2267,0,0,0,0,0,0,0,0
2268,0,0,0,0,0,0,0,0
2269,0,0,0,0,0,0,0,0
2272,0,0,0,0,0,0,0,0
2273,0,0,0,0,0,0,0,0
2275,0,0,0,0,0,0,0,0
2276,0,0,5,0,0,1,0,1
2277,0,0,0,0,0,0,0,0
2282,0,0,0,0,0,0,0,0
2284,0,0,0,0,0,0,0,0
2285,0,0,0,1,1,0,0,3
2287,0,1,0,8,1,3,0,4
2288,0,1,0,0,2,0,0,0
